Text,Original Classifier,Bayes Classifier
Even buy a skincare.,Netral,Netral
"Guys, I'm going to fix the barier. I'm going to suggest that I skincare. Do I have to use the moots of the retinol serum?",Netral,Netral
youcannot affordto buyyourownskincare yes that'swhybuyeralhamdulillah cairr cairr,Netral,Netral
"His storage fits a lot of skincare amp making it neat, too.",Netral,Netral
You guys make trouble darkspots pih frame skincare mantul no or advice that has the same problem thanks,Netral,Positif
Looking for skincare anti aging meeting here.,Netral,Netral
repurchase cha some are going to run out of skittare amps refil wardah cushion,Netral,Netral
Davisen Skincare of Melvina husyanti has been in controversy since 2023 tuding using fake buyer amp money is launching viral video 2024 of richard lee's biological hydroquinone amp overclaim body lotionhb doting personallyer rejects amplification,Negatif,Negatif
What's with all the noise? What's with all the noise?,Netral,Netral
new product make up skittare worth it make buy 991 new cushion instaperfect,Positif,Positif
wtb skincaremakeup dong for 99,Netral,Netral
Why am I wearing the water micellar? The lower nose area is burning a little bit. The fw area is red.,Negatif,Negatif
Check skintic 5x ceramide barrier moisturizer gel 30g cream bright face calming whitening brightening dark spot moisturizer face facial moisturizer day cream skies bpom niacinide with centella acid sooth rp117310,Positif,Positif
can refrigeratorsskiccare littlebroken,Netral,Netral
No. Shave. Throw away the fur.,Netral,Netral
Skincare abis with byee money,Netral,Netral
I bought a dance promoan eh co instead of a normal price perfume cuz gadapet vcrnya anying,Positif,Netral
Nice skincare.,Positif,Netral
Skincare so much together,Positif,Netral
a glowing face key to the body using a copper frame,Netral,Netral
check somethinnc copy paste tinted sunscreen spf 40 pa skint light finish dewy flat skin shield face uva amp uvb long-lasting schincare price rp53000 can now shopee,Positif,Positif
If the natural tear of the active substance is like the turquoise udh glowing severely wkw,Negatif,Positif
My workmates are getting cute. They're just more involved in asking for their husband. Skincare is expensive.,Positif,Positif
Korean skincare recommendations are mandatory. You should try a thread.,Netral,Netral
Why don't you come over here again? Did you hurt yourself this afternoon? Dad said you wanted to work on your phone.,Netral,Netral
Recommend voucher code discount promo flash sale shopout buy poison shopee 5 September 9 September 99 super shopping day big flashsale all around rp99 iphone skincare makeup cooker claims discount voucher,Positif,Positif
My new 9th is the only money I have left. 750 eats hokben buys schincare for coffee.,Positif,Positif
♪ my god mares ♪ ♪ right schincare ♪ ♪ together ♪,Positif,Netral
Lazda 99 mega brands sale tomorrow. I want a full checkout.,Positif,Netral
Lazda 99 mega brands sale tomorrow. I want a full checkout.,Positif,Netral
Check 99 glow deals wardah uv shield tinted tone up sunscreen spf 50 ml pa 30 ml sunscreen bright face faint black sticky face quick resplendent makeup primarycare price rp68500 can shopee now,Positif,Positif
Yeah. My face can't use a little more available. Almost every month.,Positif,Positif
Doctors have a skincare warehouse doctor bule hospital will smith bsb westlife can't afford ducati man fashion doesn't like automitives using makeup underwear.,Netral,Netral
wts preloved skittare somebymi beta pathenol travel kit using 5 times 120k,Netral,Netral
Korean schicare,Netral,Netral
Brother spill skincare,Netral,Netral
want to sell scarlett x hearts2hearts only products select product set happy rouge duo cherry vevet duo purple love duo purple charm duo price 40kset dom jogja sell cheap cmn take his photocard only wts wtb skincare underprice makeup,Positif,Positif
There's no use in skincare and it's too late in the morning.,Negatif,Netral
Voucher shop discount sd 99 skittare 1 2 perfume fashion 1 2 watches take days,Netral,Positif
jimin you put on skincare and bodycare whatever dear kok glowing light over the toe hair,Positif,Netral
I didn't just get rich yesterday. I had a lot of money. I don't really care about money.,Positif,Positif
I ifinsecure gin configurationscheckoutskincare mulu jiru jiru Nowthenewmaskcofakkkk,Netral,Netral
Time to change all my skincares.,Netral,Netral
Skincare kabis with Enpak bgt goduakbar,Netral,Netral
Rich ain't skincare because his laundry machine's running.,Positif,Netral
arriving very azarinejuststocksskincare Laen kararenwehhh,Positif,Netral
Guysss want to ask you to play skincare dongg with pink serummoist g2g abistu with sunscreen wardah orangapa kakh,Negatif,Netral
ifI'm actuallyan actual pie heal it withssinskincare focot butdo nottooover ifit'sdry it's even brighter,Netral,Netral
hbdosting yellow geart alajlaj is 2025 stillpagand believe skincare gjls ggt,Netral,Netral
Skincare sm make-up together.,Netral,Netral
Seeing as vt vt skincre davisena br 2 months used on mushrooms since the price of hundreds of thousands of people were surprised that marketing skincare wasn't clear to overprice andrt people making that kind of thing you're probably wearing.,Positif,Positif
bubb you'veboveskincaremakeup here notthink origoods yes,Netral,Netral
plsthe new moga skincare Imatch,Positif,Netral
tomorrowthetowel toiletriessskincarelike like confiram itcannotbefill hahahahahahahahahaha it'sthebigbag 1bagm mcmmm enoughkitonyo lupo now so no milkmsilkmsilkmsatsilkmstop,Netral,Netral
"Come home for the night, milk the fruit melt clean. Skincare an amps body care olesin plessa freshcare bad to get rid of it with perfume. Let's sleep well.",Negatif,Positif
"Skincare makeup. New pl code star code variation display. If there's any interest, dom tangerang.",Positif,Positif
"When I'm 99, I want preloved skincare makeup murce.",Netral,Netral
"When I'm 99, I'd like to share preloved skincare makeup murce open negotiation guys.",Netral,Netral
wantto play roblockbuttmen longtimehastobecleaned firstwashyoursouterly hufft now insteadofsleep I'mcontinuedstreaming ifmyfriendknowwhat thismandoesn'twaddledtosleep evenmore,Netral,Netral
the function of retinal serum that i want to try is to combat signs of premature aging now I'm 25 years old as well as early marks,Positif,Positif
ptMeliasoundswell samsamsams amggg good reggg reggg reggg poly FFFF00ptmpatpompati ali whocostmuhitudyamuhyangmuh,Positif,Positif
"* I'll buy you a bottle * * Da, da * * Da, da, da, da * * Da, da, da, da, da, da, da, da * * * Da, da, da, da, da, da, da, da, da, da, da, da * * * * Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, la * * * * * * * * * * * * * * * * * * * * * * * * *",Netral,Netral
♪ skincare together ♪ ♪ that's bad for you ♪,Negatif,Netral
Buy some more gas books and buy some skittare. Wait for 99.,Positif,Netral
wts skincare ori seal want to buy dm,Netral,Netral
"When I didn't have a skincare bath, it was smooth.",Positif,Positif
Did you kiss G-C?,Netral,Netral
Skincare makeup is the average number of my sissies.,Negatif,Netral
up skincare makeup price voc 99 here bub,Netral,Netral
# Skincare hard #,Negatif,Netral
I've got a white skin. Keep reading. Point it out for a long time.,Negatif,Positif
life is changed bcs what do you mean now I'm more priority in skincare buy merch,Positif,Netral
"Fuck me. I'll see you at 12 p.m., 83k. So 70k to me.",Negatif,Netral
"Come on guys, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go.",Netral,Netral
oneOlesskincaremakesstheskin fast wrinklingright,Positif,Netral
Congratulations. 99. I co a lot of skittare all over.,Netral,Netral
God of Skincare together.,Netral,Netral
Last month flavors like busyyyy So there's no time for proper skittare w husb tonight Manage to do it against,Netral,Netral
wditpreparedtobuy theskincare cannotpayment thenIthoughtnottobuy,Netral,Netral
♪ feel a petabama skincare an ♪,Netral,Netral
yes belittle whenit'sssskincarean,Netral,Netral
After bat skincare tremor bgt anjoy wkwk,Netral,Netral
Why don't you go get some skincare? Why don't you go get it?,Netral,Netral
Flash sale skincare is only 9rbn safe stock. Now it's a click limit.,Positif,Positif
Recommend voucher code discount promo flash sale shopout for poison shopee 0 9 September 99 super shopping day big flashsale all around rp99 iphone skincare makeup cooker claims discount voucher,Positif,Positif
gm ky pasa routine de skincare,Netral,Netral
Real. I need expensive skincare. Just need love.,Positif,Netral
no bay skincare doong most,Positif,Netral
Recommend voucher code discount promo flash sale shopout for poison shopee 9 September 99 super shopping day big sale flashsale pkl 1200 just rp99 ss anessa perfect uv sunscreen skincare mile 20ml,Positif,Positif
